Program ID,Program Name,Program Address,Program City,Postal Code,Phone Number,Type of Program,Day Care Y/N,Out of School Care Y/N,Preschool Y/N,Capacity,Inspection Date,Inspection Reason,Non Compliance,Enforcement Action,Remedy Date
783D1E4A1D463164174972078B09D98D,100 WORLDS PRESCHOOL,"503, 3 STONEGATE DRIVE NW",AIRDRIE,T4B0N2,5879986220,FACILITY-BASED PROGRAM,N,N,Y,24,2024-10-02,INSPECTION,,,NULL
783D1E4A1D463164174972078B09D98D,100 WORLDS PRESCHOOL,"503, 3 STONEGATE DRIVE NW",AIRDRIE,T4B0N2,5879986220,FACILITY-BASED PROGRAM,N,N,Y,24,2025-05-12,CRITICAL INCIDENT REPORT,7(2) - Incident reporting - Report each incident to director in manner required by statutory director,ORDER TO REMEDY,2025-05-30
783D1E4A1D463164174972078B09D98D,100 WORLDS PRESCHOOL,"503, 3 STONEGATE DRIVE NW",AIRDRIE,T4B0N2,5879986220,FACILITY-BASED PROGRAM,N,N,Y,24,2025-05-12,CRITICAL INCIDENT REPORT,"1.2 - (e) care of the child must be appropriate to the child's mental, emotional, spiritual and physical needs and stage of development",ORDER TO REMEDY,2025-05-30
783D1E4A1D463164174972078B09D98D,100 WORLDS PRESCHOOL,"503, 3 STONEGATE DRIVE NW",AIRDRIE,T4B0N2,5879986220,FACILITY-BASED PROGRAM,N,N,Y,24,2025-05-30,FOLLOW UP TO ENFORCEMENT ACTION,,,NULL
783D1E4A1D463164174972078B09D98D,100 WORLDS PRESCHOOL,"503, 3 STONEGATE DRIVE NW",AIRDRIE,T4B0N2,5879986220,FACILITY-BASED PROGRAM,N,N,Y,24,2025-05-30,INSPECTION,,,NULL
783D1E4A1D463164174972078B09D98D,100 WORLDS PRESCHOOL,"503, 3 STONEGATE DRIVE NW",AIRDRIE,T4B0N2,5879986220,FACILITY-BASED PROGRAM,N,N,Y,24,2025-11-12,INSPECTION,,,NULL
DC887108E65F7BCDFE83DE09BFCE97C8,124 STREET GOLDSTAR DAYCARE,10539 124 STREET NW,EDMONTON,T5N1R8,7802490124,FACILITY-BASED PROGRAM,Y,Y,N,105,2024-07-26,INSPECTION,,,NULL
DC887108E65F7BCDFE83DE09BFCE97C8,124 STREET GOLDSTAR DAYCARE,10539 124 STREET NW,EDMONTON,T5N1R8,7802490124,FACILITY-BASED PROGRAM,Y,Y,N,105,2025-01-20,INSPECTION,,,NULL
DC887108E65F7BCDFE83DE09BFCE97C8,124 STREET GOLDSTAR DAYCARE,10539 124 STREET NW,EDMONTON,T5N1R8,7802490124,FACILITY-BASED PROGRAM,Y,Y,N,105,2025-01-20,COMPLAINT INVESTIGATION,"3(2)(a) - Child guidance - Inflict physical punishment, verbal or physical degradation or emotional deprivation",ORDER TO REMEDY,2025-01-27
DC887108E65F7BCDFE83DE09BFCE97C8,124 STREET GOLDSTAR DAYCARE,10539 124 STREET NW,EDMONTON,T5N1R8,7802490124,FACILITY-BASED PROGRAM,Y,Y,N,105,2025-01-27,FOLLOW UP TO ENFORCEMENT ACTION,,,NULL
DC887108E65F7BCDFE83DE09BFCE97C8,124 STREET GOLDSTAR DAYCARE,10539 124 STREET NW,EDMONTON,T5N1R8,7802490124,FACILITY-BASED PROGRAM,Y,Y,N,105,2025-07-17,INSPECTION,,,NULL
37A6EE8D9A1D31BAB1FE36F92F1C2B5E,14423160 CANADA FOUNDATION,96 EVERGLEN RISE SW,CALGARY,T2Y4Z2,4039915157,FAMILY DAY HOME,N,N,N,60,2025-12-02,INITIAL LICENCE INSPECTION,,,NULL
ABC8605C654E25D38A549261D393C45C,1ST CLASS AFTER CLASS - CLUBHOUSE,2 NEW BRIGHTON DRIVE SE,CALGARY,T2Z4B2,5878996090,FACILITY-BASED PROGRAM,N,Y,Y,131,2025-03-04,INSPECTION,,,NULL
ABC8605C654E25D38A549261D393C45C,1ST CLASS AFTER CLASS - CLUBHOUSE,2 NEW BRIGHTON DRIVE SE,CALGARY,T2Z4B2,5878996090,FACILITY-BASED PROGRAM,N,Y,Y,131,2025-11-04,INSPECTION,,,NULL
30C5F9AEDE3916B69EB12182BE9B6856,1ST CLASS AFTER CLASS - DIVINE MERCY,228 MAHOGANY BLVD SE,CALGARY,T3M1M5,4038366090,FACILITY-BASED PROGRAM,N,Y,N,200,2024-09-19,INSPECTION,,,NULL
30C5F9AEDE3916B69EB12182BE9B6856,1ST CLASS AFTER CLASS - DIVINE MERCY,228 MAHOGANY BLVD SE,CALGARY,T3M1M5,4038366090,FACILITY-BASED PROGRAM,N,Y,N,200,2025-06-10,INSPECTION,,,NULL
